slug,winery,name,vintage,type,source,source_url,notes
substance-substance-cabernet-sauvignon-2022,Substance,Substance Cabernet Sauvignon,2022,red,,,
l-ecole-no-41-l-ecole-no-41-columbia-valley-cabernet-sauvignon-2021,L'Ecole No. 41,L'Ecole No. 41 Columbia Valley Cabernet Sauvignon,2021,red,,,
delille-cellars-d2-estate-red-2021,DeLille Cellars,D2 Estate Red,2021,red,,,
k-vintners-motor-city-kitty-syrah-2021,K Vintners,Motor City Kitty Syrah,2021,red,,,
hedges-family-estate-cms-red-2021,Hedges Family Estate,CMS Red,2021,red,,,
charles-smith-wines-boom-boom-syrah-2022,Charles Smith Wines,Boom Boom Syrah,2022,red,,,
chateau-de-beaucastel-chateau-de-beaucastel-chateauneuf-du-pape-2021,Château de Beaucastel,Château de Beaucastel Châteauneuf-du-Pape,2021,red,,,
e-guigal-e-guigal-cotes-du-rhone-rouge-2021,E. Guigal,E. Guigal Côtes-du-Rhône Rouge,2021,red,,,
m-chapoutier-m-chapoutier-belleruche-cotes-du-rhone-rouge-2022,M. Chapoutier,M. Chapoutier Belleruche Côtes-du-Rhône Rouge,2022,red,,,
louis-jadot-louis-jadot-bourgogne-pinot-noir-2022,Louis Jadot,Louis Jadot Bourgogne Pinot Noir,2022,red,,,
louis-jadot-louis-jadot-pouilly-fuisse-2022,Louis Jadot,Louis Jadot Pouilly-Fuissé,2022,white,,,
joseph-drouhin-joseph-drouhin-chablis-2022,Joseph Drouhin,Joseph Drouhin Chablis,2022,white,,,
william-fevre-william-fevre-chablis-domaine-2022,William Fèvre,William Fèvre Chablis Domaine,2022,white,,,
chateau-d-esclans-chateau-d-esclans-whispering-angel-rose-2023,Château d'Esclans,Château d'Esclans Whispering Angel Rosé,2023,rosé,,,
miraval-miraval-rose-2023,Miraval,Miraval Rosé,2023,rosé,,,
gerard-bertrand-cote-des-roses-rose-2023,Gérard Bertrand,Côte des Roses Rosé,2023,rosé,,,
chateau-la-nerthe-chateau-la-nerthe-chateauneuf-du-pape-rouge-2020,Château La Nerthe,Château La Nerthe Châteauneuf-du-Pape Rouge,2020,red,,,
famille-perrin-famille-perrin-reserve-cotes-du-rhone-rouge-2022,Famille Perrin,Famille Perrin Réserve Côtes du Rhône Rouge,2022,red,,,
chateau-greysac-chateau-greysac-medoc-2019,Château Greysac,Château Greysac Médoc,2019,red,,,
chateau-gloria-chateau-gloria-saint-julien-2019,Château Gloria,Château Gloria Saint-Julien,2019,red,,,
chateau-lanessan-chateau-lanessan-haut-medoc-2019,Château Lanessan,Château Lanessan Haut-Médoc,2019,red,,,
maison-trimbach-trimbach-riesling-2022,Maison Trimbach,Trimbach Riesling,2022,white,,,
hugel-hugel-classic-gewurztraminer-2022,Hugel,Hugel Classic Gewürztraminer,2022,white,,,
lucien-albrecht-lucien-albrecht-cremant-d-alsace-brut-2022,Lucien Albrecht,Lucien Albrecht Crémant d'Alsace Brut,2022,sparkling,,,
veuve-clicquot-veuve-clicquot-yellow-label-brut-2025,Veuve Clicquot,Veuve Clicquot Yellow Label Brut,2025,sparkling,,,
moet-chandon-moet-chandon-imperial-brut-2025,Moët & Chandon,Moët & Chandon Impérial Brut,2025,sparkling,,,
marchesi-antinori-marchesi-antinori-tignanello-2021,Marchesi Antinori,Marchesi Antinori Tignanello,2021,red,,,
marchesi-antinori-antinori-peppoli-chianti-classico-2022,Marchesi Antinori,Antinori Peppoli Chianti Classico,2022,red,,,
ruffino-ruffino-riserva-ducale-oro-chianti-classico-gran-selezione-2019,Ruffino,Ruffino Riserva Ducale Oro Chianti Classico Gran Selezione,2019,red,,,
banfi-castello-banfi-brunello-di-montalcino-2019,Banfi,Castello Banfi Brunello di Montalcino,2019,red,,,
altesino-altesino-brunello-di-montalcino-2019,Altesino,Altesino Brunello di Montalcino,2019,red,,,
vietti-vietti-barolo-castiglione-2020,Vietti,Vietti Barolo Castiglione,2020,red,,,
pio-cesare-pio-cesare-barolo-2020,Pio Cesare,Pio Cesare Barolo,2020,red,,,
zenato-zenato-amarone-della-valpolicella-classico-2019,Zenato,Zenato Amarone della Valpolicella Classico,2019,red,,,
allegrini-allegrini-palazzo-della-torre-2021,Allegrini,Allegrini Palazzo della Torre,2021,red,,,
santa-margherita-santa-margherita-pinot-grigio-2023,Santa Margherita,Santa Margherita Pinot Grigio,2023,white,,,
jermann-jermann-pinot-grigio-2023,Jermann,Jermann Pinot Grigio,2023,white,,,
la-scolca-la-scolca-gavi-dei-gavi-black-label-2022,La Scolca,La Scolca Gavi dei Gavi Black Label,2022,white,,,
masi-masi-campofiorin-rosso-del-veronese-2020,Masi,Masi Campofiorin Rosso del Veronese,2020,red,,,
frescobaldi-frescobaldi-nipozzano-chianti-rufina-riserva-2020,Frescobaldi,Frescobaldi Nipozzano Chianti Rufina Riserva,2020,red,,,
bisol-bisol-jeio-prosecco-brut-2023,Bisol,Bisol Jeio Prosecco Brut,2023,sparkling,,,
marques-de-riscal-marques-de-riscal-rioja-reserva-2019,Marqués de Riscal,Marqués de Riscal Rioja Reserva,2019,red,,,
la-rioja-alta-la-rioja-alta-vina-alberdi-reserva-tinto-2020,La Rioja Alta,La Rioja Alta Viña Alberdi Reserva Tinto,2020,red,,,
cvne-cvne-imperial-reserva-rioja-2019,CVNE,CVNE Imperial Reserva Rioja,2019,red,,,
bodegas-muga-bodegas-muga-reserva-2020,Bodegas Muga,Bodegas Muga Reserva,2020,red,,,
bodegas-juan-gil-bodegas-juan-gil-silver-label-monastrell-2021,Bodegas Juan Gil,Bodegas Juan Gil Silver Label Monastrell,2021,red,,,
emilio-moro-emilio-moro-ribera-del-duero-2021,Emilio Moro,Emilio Moro Ribera del Duero,2021,red,,,
numanthia-numanthia-termes-2021,Numanthia,Numanthia Termes,2021,red,,,
martin-codax-martin-codax-albarino-2023,Martín Códax,Martín Códax Albariño,2023,white,,,
graham-s-graham-s-10-year-old-tawny-port-2016,Graham's,Graham's 10 Year Old Tawny Port,2016,fortified,,,
taylor-fladgate-taylor-fladgate-10-year-old-tawny-port-2016,Taylor Fladgate,Taylor Fladgate 10 Year Old Tawny Port,2016,fortified,,,
catena-zapata-catena-malbec-2022,Catena Zapata,Catena Malbec,2022,red,,,
catena-zapata-catena-alta-malbec-2021,Catena Zapata,Catena Alta Malbec,2021,red,,,
el-enemigo-el-enemigo-malbec-2021,El Enemigo,El Enemigo Malbec,2021,red,,,
luigi-bosca-luigi-bosca-malbec-2022,Luigi Bosca,Luigi Bosca Malbec,2022,red,,,
zuccardi-zuccardi-q-malbec-2022,Zuccardi,Zuccardi Q Malbec,2022,red,,,
bodega-norton-bodega-norton-reserva-malbec-2022,Bodega Norton,Bodega Norton Reserva Malbec,2022,red,,,
concha-y-toro-marques-de-casa-concha-cabernet-sauvignon-2021,Concha y Toro,Marques de Casa Concha Cabernet Sauvignon,2021,red,,,
montes-montes-alpha-series-cabernet-sauvignon-2021,Montes,Montes Alpha Series Cabernet Sauvignon,2021,red,,,
lapostolle-lapostolle-cuvee-alexandre-carmenere-2021,Lapostolle,Lapostolle Cuvée Alexandre Carmenère,2021,red,,,
errazuriz-errazuriz-max-reserva-cabernet-sauvignon-2021,Errázuriz,Errázuriz Max Reserva Cabernet Sauvignon,2021,red,,,
penfolds-penfolds-bin-389-cabernet-shiraz-2021,Penfolds,Penfolds Bin 389 Cabernet Shiraz,2021,red,,,
mollydooker-mollydooker-the-boxer-shiraz-2022,Mollydooker,Mollydooker The Boxer Shiraz,2022,red,,,
cloudy-bay-cloudy-bay-sauvignon-blanc-2023,Cloudy Bay,Cloudy Bay Sauvignon Blanc,2023,white,,,
kim-crawford-kim-crawford-sauvignon-blanc-2023,Kim Crawford,Kim Crawford Sauvignon Blanc,2023,white,,,
loosen-bros-loosen-bros-dr-l-riesling-2023,Loosen Bros.,Loosen Bros. Dr. L Riesling,2023,white,,,
paolo-saracco-saracco-moscato-d-asti-2025,Paolo Saracco,Saracco Moscato d'Asti,2025,sparkling,,,
michele-chiarlo-michele-chiarlo-nivole-moscato-d-asti-2025,Michele Chiarlo,Michele Chiarlo Nivole Moscato d'Asti,2025,sparkling,,,
la-spinetta-la-spinetta-bricco-quaglia-moscato-d-asti-2025,La Spinetta,La Spinetta Bricco Quaglia Moscato d'Asti,2025,sparkling,,,
elio-perrone-elio-perrone-sourgal-moscato-d-asti-2025,Elio Perrone,Elio Perrone Sourgal Moscato d'Asti,2025,sparkling,,,
marenco-marenco-scrapona-moscato-d-asti-2024,Marenco,Marenco Scrapona Moscato d'Asti,2024,sparkling,,,
risata-risata-moscato-d-asti-2024,Risata,Risata Moscato d'Asti,2024,sparkling,,,
bartenura-bartenura-moscato-nv,Bartenura,Bartenura Moscato,,white,,,
seven-daughters-seven-daughters-moscato-2024,Seven Daughters,Seven Daughters Moscato,2024,white,,,
barefoot-barefoot-moscato-nv,Barefoot,Barefoot Moscato,,white,,,
yellow-tail-yellow-tail-moscato-nv,[yellow tail],[yellow tail] Moscato,,white,,,
castello-del-poggio-castello-del-poggio-moscato-nv,Castello del Poggio,Castello del Poggio Moscato,,white,,,
stella-rosa-stella-rosa-moscato-d-asti-2024,Stella Rosa,Stella Rosa Moscato d'Asti,2024,sparkling,,,
braida-braida-brachetto-d-acqui-2024,Braida,Braida Brachetto d'Acqui,2024,sparkling,,,
marenco-marenco-pineto-brachetto-d-acqui-2025,Marenco,Marenco Pineto Brachetto d'Acqui,2025,sparkling,,,
medici-ermete-medici-ermete-quercioli-reggiano-sweet-nv,Medici Ermete,Medici Ermete Quercioli Reggiano Sweet,,sparkling,,,
medici-ermete-medici-ermete-quercioli-rosato-sweet-nv,Medici Ermete,Medici Ermete Quercioli Rosato Sweet,,sparkling,,,
medici-ermete-medici-ermete-quintessenza-malvasia-spumante-sweet-nv,Medici Ermete,Medici Ermete Quintessenza Malvasia Spumante Sweet,,sparkling,,,
riunite-riunite-lambrusco-emilia-igt-nv,Riunite,Riunite Lambrusco Emilia IGT,,sparkling,,,
riunite-riunite-lambrusco-rose-emilia-igt-nv,Riunite,Riunite Lambrusco Rosé Emilia IGT,,sparkling,,,
bartenura-bartenura-malvasia-nv,Bartenura,Bartenura Malvasia,,red,,,
schloss-johannisberg-schloss-johannisberg-gelblack-riesling-feinherb-2025,Schloss Johannisberg,Schloss Johannisberg Gelblack Riesling Feinherb,2025,white,,,
schloss-johannisberg-schloss-johannisberg-rotlack-riesling-kabinett-2024,Schloss Johannisberg,Schloss Johannisberg Rotlack Riesling Kabinett,2024,white,,,
schloss-johannisberg-schloss-johannisberg-grunlack-riesling-spatlese-2023,Schloss Johannisberg,Schloss Johannisberg Grünlack Riesling Spätlese,2023,white,,,
schloss-johannisberg-schloss-johannisberg-rosalack-riesling-auslese-2023,Schloss Johannisberg,Schloss Johannisberg Rosalack Riesling Auslese,2023,dessert,,,
schloss-johannisberg-schloss-johannisberg-purpurlack-riesling-beerenauslese-2023,Schloss Johannisberg,Schloss Johannisberg Purpurlack Riesling Beerenauslese,2023,dessert,,,
schloss-johannisberg-schloss-johannisberg-blaulack-riesling-trockenbeerenauslese-2023,Schloss Johannisberg,Schloss Johannisberg Blaulack Riesling Trockenbeerenauslese,2023,dessert,,,
schloss-johannisberg-schloss-johannisberg-violettlack-riesling-eiswein-2018,Schloss Johannisberg,Schloss Johannisberg Violettlack Riesling Eiswein,2018,dessert,,,
fritz-haag-fritz-haag-brauneberger-juffer-riesling-kabinett-2024,Fritz Haag,Fritz Haag Brauneberger Juffer Riesling Kabinett,2024,white,,,
fritz-haag-fritz-haag-brauneberger-juffer-riesling-spatlese-2024,Fritz Haag,Fritz Haag Brauneberger Juffer Riesling Spätlese,2024,white,,,
fritz-haag-fritz-haag-brauneberger-juffer-sonnenuhr-riesling-spatlese-2024,Fritz Haag,Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Spätlese,2024,white,,,
fritz-haag-fritz-haag-brauneberger-juffer-riesling-auslese-2024,Fritz Haag,Fritz Haag Brauneberger Juffer Riesling Auslese,2024,dessert,,,
fritz-haag-fritz-haag-brauneberger-juffer-sonnenuhr-riesling-auslese-2024,Fritz Haag,Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese,2024,dessert,,,
donnhoff-donnhoff-oberhauser-brucke-riesling-spatlese-2025,Dönnhoff,Dönnhoff Oberhäuser Brücke Riesling Spätlese,2025,white,,,
dr-loosen-dr-loosen-blue-slate-riesling-kabinett-2023,Dr. Loosen,Dr. Loosen Blue Slate Riesling Kabinett,2023,white,,,
maximin-grunhaus-maximin-grunhaus-herrenberg-riesling-spatlese-2018,Maximin Grünhaus,Maximin Grünhaus Herrenberg Riesling Spätlese,2018,white,,,
relax-relax-riesling-nv,RELAX,RELAX Riesling,,white,,,
willi-schaefer-willi-schaefer-graacher-himmelreich-riesling-kabinett-2025,Willi Schaefer,Willi Schaefer Graacher Himmelreich Riesling Kabinett,2025,white,,,
willi-schaefer-willi-schaefer-graacher-domprobst-riesling-kabinett-03-2025,Willi Schaefer,Willi Schaefer Graacher Domprobst Riesling Kabinett #03,2025,white,,,
willi-schaefer-willi-schaefer-graacher-himmelreich-riesling-spatlese-2025,Willi Schaefer,Willi Schaefer Graacher Himmelreich Riesling Spätlese,2025,white,,,
willi-schaefer-willi-schaefer-graacher-domprobst-riesling-spatlese-05-2025,Willi Schaefer,Willi Schaefer Graacher Domprobst Riesling Spätlese #05,2025,white,,,
chateau-d-yquem-chateau-d-yquem-2023,Château d'Yquem,Château d'Yquem,2023,dessert,,,
chateau-suduiraut-chateau-suduiraut-2021,Château Suduiraut,Château Suduiraut,2021,dessert,,,
chateau-rieussec-chateau-rieussec-2021,Château Rieussec,Château Rieussec,2021,dessert,,,
chateau-coutet-chateau-coutet-2024,Château Coutet,Château Coutet,2024,dessert,,,
chateau-climens-chateau-climens-2023,Château Climens,Château Climens,2023,dessert,,,
chateau-guiraud-chateau-guiraud-2021,Château Guiraud,Château Guiraud,2021,dessert,,,
chateau-doisy-daene-chateau-doisy-daene-2022,Château Doisy-Daëne,Château Doisy-Daëne,2022,dessert,,,
chateau-lafaurie-peyraguey-chateau-lafaurie-peyraguey-2022,Château Lafaurie-Peyraguey,Château Lafaurie-Peyraguey,2022,dessert,,,
chateau-de-fargues-chateau-de-fargues-2022,Château de Fargues,Château de Fargues,2022,dessert,,,
chateau-bastor-lamontagne-chateau-bastor-lamontagne-2019,Château Bastor-Lamontagne,Château Bastor-Lamontagne,2019,dessert,,,
royal-tokaji-royal-tokaji-aszu-5-puttonyos-2018,Royal Tokaji,Royal Tokaji Aszú 5 Puttonyos,2018,dessert,,,
grand-tokaj-grand-tokaj-terroir-selection-5-puttonyos-aszu-2019,Grand Tokaj,Grand Tokaj Terroir Selection 5 Puttonyos Aszú,2019,dessert,,,
grand-tokaj-grand-tokaj-classic-selection-5-puttonyos-aszu-2019,Grand Tokaj,Grand Tokaj Classic Selection 5 Puttonyos Aszú,2019,dessert,,,
grand-tokaj-grand-tokaj-terroir-selection-sweet-szamorodni-2021,Grand Tokaj,Grand Tokaj Terroir Selection Sweet Szamorodni,2021,dessert,,,
grand-tokaj-grand-tokaj-classic-selection-sweet-szamorodni-2021,Grand Tokaj,Grand Tokaj Classic Selection Sweet Szamorodni,2021,dessert,,,
inniskillin-inniskillin-vidal-icewine-vqa-nv,Inniskillin,Inniskillin Vidal Icewine VQA,,dessert,,,
inniskillin-inniskillin-riesling-icewine-vqa-nv,Inniskillin,Inniskillin Riesling Icewine VQA,,dessert,,,
inniskillin-inniskillin-cabernet-franc-icewine-vqa-nv,Inniskillin,Inniskillin Cabernet Franc Icewine VQA,,dessert,,,
inniskillin-inniskillin-sparkling-cabernet-franc-icewine-vqa-nv,Inniskillin,Inniskillin Sparkling Cabernet Franc Icewine VQA,,sparkling,,,
pillitteri-estates-winery-pillitteri-reserve-vidal-icewine-2016,Pillitteri Estates Winery,Pillitteri Reserve Vidal Icewine,2016,dessert,,,
graham-s-graham-s-six-grapes-reserve-ruby-port-nv,Graham's,Graham's Six Grapes Reserve Ruby Port,,fortified,,,
graham-s-graham-s-the-tawny-nv,Graham's,Graham's The Tawny,,fortified,,,
graham-s-graham-s-30-years-old-tawny-port-nv,Graham's,Graham's 30 Years Old Tawny Port,,fortified,,,
graham-s-graham-s-fine-ruby-port-nv,Graham's,Graham's Fine Ruby Port,,fortified,,,
graham-s-graham-s-fine-tawny-port-nv,Graham's,Graham's Fine Tawny Port,,fortified,,,
graham-s-graham-s-fine-white-port-nv,Graham's,Graham's Fine White Port,,fortified,,,
graham-s-graham-s-late-bottled-vintage-port-2019,Graham's,Graham's Late Bottled Vintage Port,2019,fortified,,,
fonseca-fonseca-bin-27-reserve-port-nv,Fonseca,Fonseca Bin 27 Reserve Port,,fortified,,,
taylor-fladgate-taylor-fladgate-late-bottled-vintage-port-2020,Taylor Fladgate,Taylor Fladgate Late Bottled Vintage Port,2020,fortified,,,
dow-s-dow-s-late-bottled-vintage-port-2020,Dow's,Dow's Late Bottled Vintage Port,2020,fortified,,,
sandeman-sandeman-founder-s-reserve-port-nv,Sandeman,Sandeman Founder's Reserve Port,,fortified,,,
cockburn-s-cockburn-s-special-reserve-port-nv,Cockburn's,Cockburn's Special Reserve Port,,fortified,,,
quinta-do-noval-quinta-do-noval-black-reserve-port-nv,Quinta do Noval,Quinta do Noval Black Reserve Port,,fortified,,,
lustau-lustau-pedro-ximenez-san-emilio-nv,Lustau,Lustau Pedro Ximénez San Emilio,,fortified,,,
lustau-lustau-pedro-ximenez-vors-30-years-nv,Lustau,Lustau Pedro Ximénez VORS 30 Years,,fortified,,,
lustau-lustau-pedro-ximenez-murillo-centenario-nv,Lustau,Lustau Pedro Ximénez Murillo Centenario,,fortified,,,
lustau-lustau-east-india-solera-nv,Lustau,Lustau East India Solera,,fortified,,,
gonzalez-byass-gonzalez-byass-nectar-pedro-ximenez-nv,González Byass,González Byass Néctar Pedro Ximénez,,fortified,,,
gonzalez-byass-gonzalez-byass-solera-1847-nv,González Byass,González Byass Solera 1847,,fortified,,,
osborne-osborne-pedro-ximenez-1827-nv,Osborne,Osborne Pedro Ximénez 1827,,fortified,,,
broadbent-broadbent-10-year-old-malmsey-madeira-nv,Broadbent,Broadbent 10 Year Old Malmsey Madeira,,fortified,,,
broadbent-broadbent-10-year-boal-madeira-nv,Broadbent,Broadbent 10 Year Boal Madeira,,fortified,,,
broadbent-broadbent-3-year-fine-rich-sweet-madeira-nv,Broadbent,Broadbent 3 Year Fine Rich Sweet Madeira,,fortified,,,
bartenura-bartenura-sparkling-moscato-rose-nv,Bartenura,Bartenura Sparkling Moscato Rosé,,sparkling,,,
bartenura-bartenura-brachetto-nv,Bartenura,Bartenura Brachetto,,sparkling,,,
risata-risata-pink-moscato-nv,Risata,Risata Pink Moscato,,rosé,,,
risata-risata-red-moscato-nv,Risata,Risata Red Moscato,,red,,,
barefoot-barefoot-pink-moscato-nv,Barefoot,Barefoot Pink Moscato,,rosé,,,
yellow-tail-yellow-tail-pink-moscato-nv,[yellow tail],[yellow tail] Pink Moscato,,rosé,,,
quady-winery-quady-essensia-orange-muscat-2023,Quady Winery,Quady Essensia Orange Muscat,2023,dessert,,,
quady-winery-quady-elysium-black-muscat-2023,Quady Winery,Quady Elysium Black Muscat,2023,dessert,,,
quady-winery-quady-electra-moscato-2023,Quady Winery,Quady Electra Moscato,2023,white,,,
quady-winery-quady-red-electra-moscato-2024,Quady Winery,Quady Red Electra Moscato,2024,red,,,
quady-winery-quady-electra-moscato-rose-2023,Quady Winery,Quady Electra Moscato Rosé,2023,rosé,,,
quady-winery-quady-starboard-batch-88-nv,Quady Winery,Quady Starboard Batch 88,,fortified,,,
medici-ermete-medici-ermete-bocciolo-lambrusco-grasparossa-sweet-2025,Medici Ermete,Medici Ermete Bocciolo Lambrusco Grasparossa Sweet,2025,sparkling,,,
medici-ermete-medici-ermete-nebbie-d-autunno-malvasia-sweet-2025,Medici Ermete,Medici Ermete Nebbie d'Autunno Malvasia Sweet,2025,sparkling,,,
klein-constantia-klein-constantia-vin-de-constance-2021,Klein Constantia,Klein Constantia Vin de Constance,2021,dessert,,,
inniskillin-inniskillin-50th-anniversary-single-vineyard-riesling-icewine-2024,Inniskillin,Inniskillin 50th Anniversary Single Vineyard Riesling Icewine,2024,dessert,,,
konzelmann-estate-winery-konzelmann-vidal-icewine-2022,Konzelmann Estate Winery,Konzelmann Vidal Icewine,2022,dessert,,,
