name,winery,vintage,grape,grape_pct,type,country,region,subregion,abv,price,currency,sweetness,acidity,tannin,body,fruitiness,description,image_url,source_site,source_url,source_product_id
Rombauer Chardonnay,Rombauer Vineyards,2023,Chardonnay,,white,United States,California,Carneros,14.6,39.97,USD,2,3,1,4,4,"Ripe peach, melon and citrus layered with creamy vanilla and buttery oak richness.",/wines/rombauer-vineyards-rombauer-chardonnay-2023.webp,Wine.com,https://www.wine.com/product/rombauer-chardonnay-2023/2156305,2156305
Cakebread Chardonnay,Cakebread Cellars,2023,Chardonnay,,white,United States,California,Napa Valley,13.6,41.97,USD,1,4,1,4,4,"Rich and full-bodied Chardonnay balanced by bright acidity, citrus and orchard-fruit character.",/wines/cakebread-cellars-cakebread-chardonnay-2023.webp,Wine.com,https://www.wine.com/product/cakebread-chardonnay-2023/2289476,2289476
Sonoma-Cutrer Russian River Ranches Chardonnay,Sonoma-Cutrer,2023,Chardonnay,,white,United States,California,Russian River Valley,13.8,29.97,USD,1,5,1,3,3,"Citrus and mineral notes with crisp acidity and a smooth, lightly creamy texture.",/wines/sonoma-cutrer-sonoma-cutrer-russian-river-ranches-chardonnay-2023.webp,Wine.com,https://www.wine.com/product/sonoma-cutrer-russian-river-ranches-chardonnay-2023/2176335,2176335
Far Niente Chardonnay,Far Niente,2023,Chardonnay,,white,United States,California,Napa Valley,13.7,64.99,USD,1,4,1,3,5,"Silky Chardonnay with lemon, lime, melon and nectarine supported by bright refreshing acidity.",/wines/far-niente-far-niente-chardonnay-2023.webp,Wine.com,https://www.wine.com/product/far-niente-chardonnay-2023/2123686,2123686
Duckhorn Sauvignon Blanc,Duckhorn Vineyards,2023,Sauvignon Blanc;Semillon,91.0;9.0,white,United States,California,North Coast,14.1,25.97,USD,1,5,1,3,4,"Bright citrus and tropical fruit with high freshness, lively acidity and a clean dry finish.",/wines/duckhorn-vineyards-duckhorn-sauvignon-blanc-2023.webp,Wine.com,https://www.wine.com/product/duckhorn-sauvignon-blanc-2023/2019285,2019285
Honig Sauvignon Blanc,Honig Vineyard & Winery,2023,Sauvignon Blanc;Semillon;Muscat,98.0;1.0;1.0,white,United States,California,North Coast,13.5,24.97,USD,1,5,1,3,4,"Fresh citrus and orchard fruit with pronounced acidity and a crisp, aromatic finish.",/wines/honig-vineyard-winery-honig-sauvignon-blanc-2023.webp,Wine.com,https://www.wine.com/product/honig-sauvignon-blanc-2023/1700875,1700875
Meiomi Pinot Noir,Meiomi,2023,Pinot Noir,,red,United States,California,California,13.5,19.97,USD,3,2,2,4,5,"Very fruit-forward Pinot with strawberry and dark berry, mocha accents, soft structure and noticeable sweetness.",/wines/meiomi-meiomi-pinot-noir-2023.webp,Wine.com,https://www.wine.com/product/meiomi-pinot-noir-2023/3025647,3025647
Belle Glos Clark & Telephone Vineyard Pinot Noir,Belle Glos,2022,Pinot Noir,,red,United States,California,Santa Maria Valley,14.8,55,USD,2,3,3,4,4,"Ripe dark cherry and berry fruit with rich texture, sweet oak spice and a fuller Pinot Noir style.",/wines/belle-glos-belle-glos-clark-telephone-vineyard-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/belle-glos-clark-and-telephone-vineyard-pinot-noir-2022/1545995,1545995
La Crema Sonoma Coast Pinot Noir,La Crema,2023,Pinot Noir,,red,United States,California,Sonoma Coast,13.5,22.97,USD,1,4,4,3,5,"Red plum, blackberry and cranberry with bright acidity and firm integrated tannins.",/wines/la-crema-la-crema-sonoma-coast-pinot-noir-2023.webp,Wine.com,https://www.wine.com/product/la-crema-sonoma-coast-pinot-noir-2023/2900471,2900471
Flowers Sonoma Coast Pinot Noir,Flowers,2022,Pinot Noir,,red,United States,California,Sonoma Coast,14.1,49.99,USD,1,4,3,2,4,"Tangy dark berry fruit with bright freshness, fine chalky tannins and restrained coastal weight.",/wines/flowers-flowers-sonoma-coast-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/flowers-sonoma-coast-pinot-noir-2022/1545729,1545729
Jordan Cabernet Sauvignon,Jordan Vineyard & Winery,2020,Cabernet Sauvignon;Merlot;Petit Verdot;Malbec,;;;,red,United States,California,Alexander Valley,13.6,59.99,USD,1,3,2,3,3,"Red and black fruit with savory complexity, smooth tannins and a balanced, elegant structure.",/wines/jordan-vineyard-winery-jordan-cabernet-sauvignon-2020.webp,Wine.com,https://www.wine.com/product/jordan-cabernet-sauvignon-2020/2347601,2347601
Silver Oak Alexander Valley Cabernet Sauvignon,Silver Oak,2020,Cabernet Sauvignon;Merlot;Cabernet Franc;Petit Verdot;Malbec,95.2;2.1;1.4;0.7;0.6,red,United States,California,Alexander Valley,14.6,94.99,USD,1,3,2,4,3,"Cedar and red-black fruit with polished tannins, balanced acidity and classic oak framing.",/wines/silver-oak-silver-oak-alexander-valley-cabernet-sauvignon-2020.webp,Wine.com,https://www.wine.com/product/silver-oak-alexander-valley-cabernet-sauvignon-2020/2433965,2433965
JUSTIN Isosceles,JUSTIN Vineyards & Winery,2021,Cabernet Sauvignon;Cabernet Franc;Merlot,;;,red,United States,California,Paso Robles,15.5,67.99,USD,1,3,4,5,3,"Dense Bordeaux-style blend with black fruit, substantial tannin, oak spice and a full powerful palate.",/wines/justin-vineyards-winery-justin-isosceles-2021.webp,Wine.com,https://www.wine.com/product/justin-isosceles-2021/2759872,2759872
Tablas Creek Esprit de Tablas Rouge,Tablas Creek Vineyard,2021,Mourvedre;Grenache;Syrah;Vaccarese;Cinsaut;Counoise,35.0;26.0;23.0;7.0;5.0;4.0,red,United States,California,"Adelaida District, Paso Robles",13.5,68.99,USD,1,4,3,3,3,"Savory Rhône-style blend with fresh acidity, dark-red fruit, spice and firm but refined structure.",/wines/tablas-creek-vineyard-tablas-creek-esprit-de-tablas-rouge-2021.webp,Wine.com,https://www.wine.com/product/tablas-creek-esprit-de-tablas-rouge-2021/1508218,1508218
Eroica Riesling,Chateau Ste. Michelle & Dr. Loosen,2022,Riesling,,white,United States,Washington,Columbia Valley,12,19.99,USD,3,5,1,2,4,"Focused Riesling with citrus and stone fruit, vivid acidity and a lightly off-dry balance.",/wines/chateau-ste-michelle-dr-loosen-eroica-riesling-2022.webp,Wine.com,https://www.wine.com/product/eroica-riesling-2022/1341098,1341098
Evenstad Reserve Pinot Noir,Domaine Serene,2021,Pinot Noir,,red,United States,Oregon,Willamette Valley,14.1,97.99,USD,1,4,2,3,3,"Strawberry and floral aromatics with lifted acidity, fine tannins and elegant medium weight.",/wines/domaine-serene-evenstad-reserve-pinot-noir-2021.webp,Wine.com,https://www.wine.com/product/domaine-serene-evenstad-reserve-pinot-noir-2021/1955477,1955477
Argyle Pinot Noir,Argyle,2022,Pinot Noir,,red,United States,Oregon,Willamette Valley,13.5,27.97,USD,1,5,2,3,4,"Cherry and strawberry fruit with vibrant acidity, fine tannins and cool-climate freshness.",/wines/argyle-argyle-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/argyle-pinot-noir-2022/1574292,1574292
A to Z Wineworks Pinot Noir,A to Z Wineworks,2022,Pinot Noir,,red,United States,Oregon,Oregon,13.5,18.97,USD,1,4,2,3,4,"Bright red berry fruit, fresh acidity and soft tannins in an approachable Oregon Pinot style.",/wines/a-to-z-wineworks-a-to-z-wineworks-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/a-to-z-pinot-noir-2022/1741253,1741253
King Estate Willamette Valley Pinot Gris,King Estate,2023,Pinot Gris,,white,United States,Oregon,Willamette Valley,13,19.99,USD,1,4,1,3,4,"Fresh pear and citrus with clean acidity, moderate body and an aromatic fruit-driven palate.",/wines/king-estate-king-estate-willamette-valley-pinot-gris-2023.webp,Wine.com,https://www.wine.com/product/king-estate-willamette-valley-pinot-gris-2023/2312051,2312051
Willamette Valley Vineyards Whole Cluster Pinot Noir,Willamette Valley Vineyards,2022,Pinot Noir,,red,United States,Oregon,Willamette Valley,13.2,21.97,USD,1,4,3,3,4,Juicy berry fruit with bright acidity and a slightly firmer tannin structure from whole-cluster character.,/wines/willamette-valley-vineyards-willamette-valley-vineyards-whole-cluster-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/willamette-valley-vineyards-whole-cluster-pinot-noir-2022/1351398,1351398
Elk Cove Willamette Valley Pinot Noir,Elk Cove Vineyards,2022,Pinot Noir,,red,United States,Oregon,Willamette Valley,13.5,34,USD,1,3,2,3,4,"Cherry, raspberry and plum with earthy spice, chalky refined tannins and balanced freshness.",/wines/elk-cove-vineyards-elk-cove-willamette-valley-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/elk-cove-willamette-valley-pinot-noir-2022/1553705,1553705
Cristom Mt. Jefferson Cuvée Pinot Noir,Cristom Vineyards,2022,Pinot Noir,,red,United States,Oregon,Eola-Amity Hills,13.5,51.99,USD,1,5,4,3,3,"Tart red fruit with bright acidity, mineral tension and clay-like tannin grip.",/wines/cristom-vineyards-cristom-mt-jefferson-cuvee-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/cristom-mt-jefferson-cuvee-pinot-noir-2022/1576155,1576155
Columbia Valley Riesling,Chateau Ste. Michelle,2023,Riesling,,white,United States,Washington,Columbia Valley,12,9.99,USD,3,4,1,2,3,"Medium-dry Riesling with crisp apple, white peach and mineral notes balanced by refreshing acidity.",/wines/chateau-ste-michelle-columbia-valley-riesling-2023.webp,Chateau Ste. Michelle,https://www.ste-michelle.com/riesling-columbia-valley,
Kung Fu Girl Riesling,Charles Smith Wines,2023,Riesling,,white,United States,Washington,"Ancient Lakes, Columbia Valley",12.5,13.99,USD,1,5,1,2,4,"Dry, energetic Riesling with white peach, mandarin and apricot over pronounced mineral acidity.",/wines/charles-smith-wines-kung-fu-girl-riesling-2023.webp,Wine.com,https://www.wine.com/product/charles-smith-wines-kung-fu-girl-riesling-2023/2049692,2049692
Substance Cabernet Sauvignon,Substance,2022,Cabernet Sauvignon,,red,United States,Washington,Columbia Valley,14,15.99,USD,1,4,4,4,3,"Black fruit and savory spice with clear Cabernet structure, fresh acidity and firm tannins.",/wines/substance-substance-cabernet-sauvignon-2022.webp,Wine.com,https://www.wine.com/product/substance-cabernet-sauvignon-2022/2283508,2283508
L'Ecole No. 41 Columbia Valley Cabernet Sauvignon,L'Ecole No. 41,2021,Cabernet Sauvignon,,red,United States,Washington,Columbia Valley,14.5,37.99,USD,1,4,4,4,3,"Black fruit and cedar with brisk acidity and a structured, cellar-capable tannin profile.",/wines/l-ecole-no-41-l-ecole-no-41-columbia-valley-cabernet-sauvignon-2021.webp,Wine.com,https://www.wine.com/product/lecole-41-columbia-valley-cabernet-sauvignon-2021/2389304,2389304
D2 Estate Red,DeLille Cellars,2021,Merlot;Cabernet Sauvignon;Cabernet Franc;Petit Verdot,58.0;34.0;4.0;4.0,red,United States,Washington,Columbia Valley,14.5,49.99,USD,1,3,2,4,5,"Blackberry and cassis with fine-grained tannins, red currant, cherry and restrained toasty oak.",/wines/delille-cellars-d2-estate-red-2021.webp,Wine.com,https://www.wine.com/product/delille-d2-estate-red-2021/1669718,1669718
Motor City Kitty Syrah,K Vintners,2021,Syrah,,red,United States,Washington,Yakima Valley,14.5,39.99,USD,1,4,4,4,2,"Savory mineral Syrah with brisk acidity, dark fruit and fine structured tannins.",/wines/k-vintners-motor-city-kitty-syrah-2021.webp,Wine.com,https://www.wine.com/product/k-vintners-motor-city-kitty-syrah-2021/1842479,1842479
CMS Red,Hedges Family Estate,2021,Merlot;Cabernet Sauvignon;Syrah,67.0;30.0;3.0,red,United States,Washington,Columbia Valley,14,14.99,USD,1,4,2,4,3,"Plum and black cherry with cedar, spice, bright acidity and soft well-integrated tannins.",/wines/hedges-family-estate-cms-red-2021.webp,WineTransit,https://www.winetransit.com/wine/red-wine/cabernet-sauvignon/hedges-cms-red-wine-blend-750-ml-18712.html,18712
Boom Boom Syrah,Charles Smith Wines,2022,Syrah,,red,United States,Washington,Columbia Valley,13.5,16.99,USD,1,3,3,3,3,Bold blackberry and savory spice with a rounded body and enough tannin to retain structure.,/wines/charles-smith-wines-boom-boom-syrah-2022.webp,Wine.com,https://www.wine.com/product/charles-smith-wines-boom-boom-syrah-2022/2903874,2903874
Château de Beaucastel Châteauneuf-du-Pape,Château de Beaucastel,2021,Mourvedre;Grenache;Syrah;Counoise;Cinsault,;;;;,red,France,Rhone,Chateauneuf-du-Pape,14.5,109.97,USD,1,3,5,4,2,"Complex dark fruit, herbs and spice with substantial body, savory depth and age-worthy tannin.",/wines/chateau-de-beaucastel-chateau-de-beaucastel-chateauneuf-du-pape-2021.webp,Wine.com,https://www.wine.com/product/chateau-de-beaucastel-chateauneuf-du-pape-2021/1197676,1197676
E. Guigal Côtes-du-Rhône Rouge,E. Guigal,2021,Syrah;Grenache;Mourvedre,50.0;40.0;10.0,red,France,Rhone,Cotes du Rhone,14,17.99,USD,1,3,3,4,4,"Dark berry and peppery Rhône character with balanced acidity, moderate tannins and generous fruit.",/wines/e-guigal-e-guigal-cotes-du-rhone-rouge-2021.webp,Wine.com,https://www.wine.com/product/e-guigal-cotes-du-rhone-rouge-2021/2632115,2632115
M. Chapoutier Belleruche Côtes-du-Rhône Rouge,M. Chapoutier,2022,Grenache;Syrah,;,red,France,Rhone,Cotes du Rhone,14,16.97,USD,1,3,2,3,3,"Blackcurrant and raspberry with white pepper, roasted notes and silky delicate tannins.",/wines/m-chapoutier-m-chapoutier-belleruche-cotes-du-rhone-rouge-2022.webp,Wine.com,https://www.wine.com/product/m-chapoutier-cotes-du-rhone-belleruche-rouge-2022/1506351,1506351
Louis Jadot Bourgogne Pinot Noir,Louis Jadot,2022,Pinot Noir,,red,France,Burgundy,Bourgogne,12.84,24.97,USD,1,4,2,2,4,"Fresh red-cherry and berry character with lively acidity, light tannin and classic Burgundian restraint.",/wines/louis-jadot-louis-jadot-bourgogne-pinot-noir-2022.webp,Wine.com,https://www.wine.com/product/louis-jadot-bourgogne-pinot-noir-2022/1673817,1673817
Louis Jadot Pouilly-Fuissé,Louis Jadot,2022,Chardonnay,,white,France,Burgundy,"Pouilly-Fuisse, Maconnais",13,29.97,USD,2,4,1,3,4,Ripe orchard and citrus fruit with fresh acidity and moderate Burgundian Chardonnay richness.,/wines/louis-jadot-louis-jadot-pouilly-fuisse-2022.webp,Wine.com,https://www.wine.com/product/louis-jadot-pouilly-fuisse-2022/1383088,1383088
Joseph Drouhin Chablis,Joseph Drouhin,2022,Chardonnay,,white,France,Burgundy,Chablis,12.5,29.99,USD,1,5,1,1,3,"Crisp citrus and green-apple Chablis with mineral freshness, light body and a clean dry finish.",/wines/joseph-drouhin-joseph-drouhin-chablis-2022.webp,Siesta Spirits,https://siestaspirits.com/products/joseph-drouhin-chablis-2021,
William Fèvre Chablis Domaine,William Fèvre,2022,Chardonnay,,white,France,Burgundy,Chablis,12.5,39.99,USD,1,5,1,1,2,"Mineral-driven Chardonnay with citrus, high acidity and a lean precise Chablis profile.",/wines/william-fevre-william-fevre-chablis-domaine-2022.webp,Wine.com,https://www.wine.com/product/william-fevre-chablis-domaine-2022/1906981,1906981
Château d'Esclans Whispering Angel Rosé,Château d'Esclans,2023,Grenache;Cinsault;Rolle,;;,rosé,France,Provence,Cotes de Provence,12.5,24.97,USD,1,4,1,3,4,"Bone-dry pale rosé with fresh red fruit, citrus and saline freshness.",/wines/chateau-d-esclans-chateau-d-esclans-whispering-angel-rose-2023.webp,Wine.com,https://www.wine.com/product/chateau-desclans-whispering-angel-rose-2023/1890061,1890061
Miraval Rosé,Miraval,2023,Cinsault;Grenache;Rolle;Syrah,;;;,rosé,France,Provence,Cotes de Provence,13,22.99,USD,1,4,1,3,4,"Dry Provence rosé with fresh red fruit, citrus and a balanced, refreshing mid-weight palate.",/wines/miraval-miraval-rose-2023.webp,Wine.com,https://www.wine.com/product/miraval-rose-2023/1784899,1784899
Côte des Roses Rosé,Gérard Bertrand,2023,Grenache;Cinsault;Syrah,;;,rosé,France,South of France,Languedoc,13,18.97,USD,1,3,1,3,5,"Fresh summer berries, cassis, rose and grapefruit with a dry balanced finish.",/wines/gerard-bertrand-cote-des-roses-rose-2023.webp,Wine.com,https://www.wine.com/product/cote-des-roses-rose-2023/1849336,1849336
Château La Nerthe Châteauneuf-du-Pape Rouge,Château La Nerthe,2020,Syrah;Grenache;Mourvedre;Cinsault,;;;,red,France,Rhone,Chateauneuf-du-Pape,14.5,59.99,USD,1,4,4,4,3,"Dark fruit, herbs and spice with full Rhône body, fresh structure and firm age-worthy tannin.",/wines/chateau-la-nerthe-chateau-la-nerthe-chateauneuf-du-pape-rouge-2020.webp,Wine.com,https://www.wine.com/product/chateau-la-nerthe-chateauneuf-du-pape-rouge-2020/1342653,1342653
Famille Perrin Réserve Côtes du Rhône Rouge,Famille Perrin,2022,Grenache;Mourvedre;Syrah,40.0;40.0;20.0,red,France,Rhone,Cotes du Rhone,14.5,13.97,USD,1,3,2,4,4,Fleshy fruit with attractive tannins and a balanced everyday southern Rhône profile.,/wines/famille-perrin-famille-perrin-reserve-cotes-du-rhone-rouge-2022.webp,Wine.com,https://www.wine.com/product/famille-perrin-reserve-cotes-du-rhone-rouge-2022/2401581,2401581
Château Greysac Médoc,Château Greysac,2019,Merlot;Cabernet Sauvignon;Cabernet Franc;Petit Verdot,65.0;29.0;3.0;3.0,red,France,Bordeaux,Medoc,14.5,29.99,USD,1,4,4,4,3,"Dark berry and cedar notes with Bordeaux freshness, medium-full body and structured tannins.",/wines/chateau-greysac-chateau-greysac-medoc-2019.webp,Wine.com,https://www.wine.com/product/chateau-greysac-2019/4124291,4124291
Château Gloria Saint-Julien,Château Gloria,2019,Cabernet Sauvignon;Merlot;Cabernet Franc;Petit Verdot,65.0;25.0;5.0;5.0,red,France,Bordeaux,St-Julien,14.5,54.99,USD,1,4,3,4,3,"Cassis, blue fruit, tobacco and mineral notes with lively acidity, polished tannins and long structure.",/wines/chateau-gloria-chateau-gloria-saint-julien-2019.webp,Wine.com,https://www.wine.com/product/chateau-gloria-2019/583701,583701
Château Lanessan Haut-Médoc,Château Lanessan,2019,Cabernet Sauvignon;Merlot;Petit Verdot;Cabernet Franc,;;;,red,France,Bordeaux,Haut-Medoc,14,24.99,USD,1,4,3,4,4,"Blackberry, currant and tobacco with fresh acidity, fine-grained tannins and balanced medium-full body.",/wines/chateau-lanessan-chateau-lanessan-haut-medoc-2019.webp,Wine.com,https://www.wine.com/product/chateau-lanessan-2019/1871863,1871863
Trimbach Riesling,Maison Trimbach,2022,Riesling,,white,France,Alsace,Alsace,12.5,28.99,USD,1,5,1,2,2,"Dry, crisp and mineral Riesling with pronounced acidity and restrained citrus-fruit character.",/wines/maison-trimbach-trimbach-riesling-2022.webp,Wine.com,https://www.wine.com/product/maison-trimbach-riesling-2022/2523905,2523905
Hugel Classic Gewürztraminer,Hugel,2022,Gewurztraminer,,white,France,Alsace,Alsace,13.92,25.97,USD,3,3,1,3,3,"Highly aromatic floral and spicy white with peach, round texture and a dry-to-off-dry impression.",/wines/hugel-hugel-classic-gewurztraminer-2022.webp,Wine.com,https://www.wine.com/product/hugel-classic-gewurztraminer-2022/2732769,2732769
Lucien Albrecht Crémant d'Alsace Brut,Lucien Albrecht,2022,Pinot Blanc;Auxerrois,;,sparkling,France,Alsace,Cremant d Alsace,12.5,19.97,USD,1,4,1,3,4,"Dry traditional-method sparkling wine with fresh orchard fruit, bright acidity and fine bubbles.",/wines/lucien-albrecht-lucien-albrecht-cremant-d-alsace-brut-2022.webp,Wine.com,https://www.wine.com/product/lucien-albrecht-cremant-dalsace-brut/12033,12033
Veuve Clicquot Yellow Label Brut,Veuve Clicquot,2025,Pinot Noir;Pinot Meunier;Chardonnay,55.0;15.0;30.0,sparkling,France,Champagne,Champagne,12,72.97,USD,1,4,1,4,4,"Structured Brut Champagne with citrus, orchard fruit and toast, driven by fresh acidity and Pinot weight.",/wines/veuve-clicquot-veuve-clicquot-yellow-label-brut-2025.webp,Wine.com,https://www.wine.com/product/veuve-clicquot-yellow-label-brut/528,528
Moët & Chandon Impérial Brut,Moët & Chandon,2025,Pinot Noir;Pinot Meunier;Chardonnay,;;,sparkling,France,Champagne,Champagne,12,54.99,USD,1,4,1,3,4,"Balanced Brut Champagne with apple, citrus and brioche, moderate body and lively bubbles.",/wines/moet-chandon-moet-chandon-imperial-brut-2025.webp,Wine.com,https://www.wine.com/product/moet-and-chandon-imperial-brut/97557,97557
Marchesi Antinori Tignanello,Marchesi Antinori,2021,Sangiovese;Cabernet Sauvignon;Cabernet Franc,79.0;13.0;8.0,red,Italy,Tuscany,Toscana IGT,14.5,169.99,USD,1,4,3,4,5,"Plum, blackberry, orange peel and tobacco with vibrant acidity, refined tannins and concentrated fruit.",/wines/marchesi-antinori-marchesi-antinori-tignanello-2021.webp,Wine.com,https://www.wine.com/product/marchesi-antinori-tignanello-2021/2019239,2019239
Antinori Peppoli Chianti Classico,Marchesi Antinori,2022,Sangiovese,,red,Italy,Tuscany,Chianti Classico,13.5,22.97,USD,1,4,3,3,4,"Bright cherry-led Sangiovese with fresh acidity, savory herbs and moderate polished tannins.",/wines/marchesi-antinori-antinori-peppoli-chianti-classico-2022.webp,Wine.com,https://www.wine.com/product/marchesi-antinori-peppoli-chianti-classico-2022/1669589,1669589
Ruffino Riserva Ducale Oro Chianti Classico Gran Selezione,Ruffino,2019,Sangiovese,,red,Italy,Tuscany,Chianti Classico,15,42.99,USD,1,5,4,4,4,"Concentrated cherry and savory spice with high acidity, firm tannin and substantial Chianti structure.",/wines/ruffino-ruffino-riserva-ducale-oro-chianti-classico-gran-selezione-2019.webp,Wine.com,https://www.wine.com/product/ruffino-riserva-ducale-oro-chianti-classico-gran-selezione-2019/1421496,1421496
Castello Banfi Brunello di Montalcino,Banfi,2019,Sangiovese,,red,Italy,Tuscany,Montalcino,14.5,59.99,USD,1,5,5,5,3,"Powerful Brunello with cherry, dried herbs and oak, high acidity and assertive age-worthy tannins.",/wines/banfi-castello-banfi-brunello-di-montalcino-2019.webp,Wine.com,https://www.wine.com/product/banfi-brunello-di-montalcino-2019/1832590,1832590
Altesino Brunello di Montalcino,Altesino,2019,Sangiovese,,red,Italy,Tuscany,Montalcino,14.5,62.99,USD,1,4,4,4,3,"Violet and wild berry notes with tobacco, fresh acidity and firm but polished Brunello tannins.",/wines/altesino-altesino-brunello-di-montalcino-2019.webp,Wine.com,https://www.wine.com/product/altesino-brunello-di-montalcino-2019/1903086,1903086
Vietti Barolo Castiglione,Vietti,2020,Nebbiolo,,red,Italy,Piedmont,Barolo,14.5,69.99,USD,1,5,5,4,3,"Rose, red fruit and savory complexity with high acidity and classic powerful Nebbiolo tannin.",/wines/vietti-vietti-barolo-castiglione-2020.webp,Wine.com,https://www.wine.com/product/vietti-barolo-castiglione-2020/1863338,1863338
Pio Cesare Barolo,Pio Cesare,2020,Nebbiolo,,red,Italy,Piedmont,Barolo,14.5,84.99,USD,1,5,4,4,3,"Structured Barolo with red fruit, floral and earthy notes, pronounced acidity and firm tannins.",/wines/pio-cesare-pio-cesare-barolo-2020.webp,Wine.com,https://www.wine.com/product/pio-cesare-barolo-2020/2262467,2262467
